Geography,Cases,Rate per 100000
"Marshall County, IN","97","207.0"
"Martin County, IN","27","264.0"
"Miami County, IN","106","295.6"
"Monroe County, IN","842","581.9"
"Montgomery County, IN","156","408.1"
"Morgan County, IN","215","308.7"
"Newton County, IN","19","135.6"
"Noble County, IN","158","331.0"
"Ohio County, IN","17","286.3"
"Orange County, IN","68","346.9"
"Owen County, IN","43","206.0"
"Parke County, IN","75","443.8"
"Perry County, IN","28","144.7"
"Pike County, IN","24","190.6"
"Porter County, IN","433","258.2"
"Posey County, IN","54","211.7"
"Pulaski County, IN","34","263.8"
"Putnam County, IN","109","290.0"
"Randolph County, IN","73","290.0"
"Ripley County, IN","63","219.5"
"Rush County, IN","39","233.9"
"St. Joseph County, IN","1,412","526.0"
"Scott County, IN","70","294.8"
"Shelby County, IN","183","411.4"
"Spencer County, IN","38","183.4"
"Starke County, IN","29","126.3"
"Steuben County, IN","69","200.7"
"Sullivan County, IN","48","229.4"
"Switzerland County, IN","29","275.6"
"Tippecanoe County, IN","997","536.5"
"Tipton County, IN","28","183.4"
"Union County, IN","5","69.6"
"Vanderburgh County, IN","929","510.8"
"Vermillion County, IN","29","184.8"
"Vigo County, IN","516","478.2"
"Wabash County, IN","73","227.1"
"Warren County, IN","10","120.9"
"Warrick County, IN","121","195.5"
"Washington County, IN","61","219.2"
"Wayne County, IN","276","411.9"
